Crop_ID,Crop_Name,Variety,Action,Primary_Source_Type,Source_URL_or_Citation,Trait_Used_In_AEF,Resistance_Interpretation,Numeric_Curation_Rule,Evidence_Level,Curation_Note
C_CAS_03,Cassava,IITA-TMS-IBA980581,added,official research/catalogue URL plus scientific literature,https://www.iita.org/; scientific cassava breeding literature on IITA-TMS-IBA lines,Improved cassava germplasm; CMD-oriented breeding background; high-yield/dry-matter literature references; CBSD response must be locally checked,"CMD: resistant/tolerant prior; CBSD: uncertain to moderate, do not claim high resistance; bacterial/fungal cassava diseases: no strong variety-specific claim","Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium-low,added after conservative literature review; disease-specific uncertainty retained
C_CAS_04,Cassava,NASE 14,added,official research/catalogue URL plus scientific literature,https://www.iita.org/; NARO/IITA cassava disease screening literature,Documented improved cassava line used in CMD/CBSD literature; vegetative seed health remains decisive,"CMD: resistant/tolerant prior; CBSD: partial/tolerant prior, not immune; roguing never automatic","Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium-low,added with medium-low confidence because local pathogen strains matter
C_MAI_03,Maize,ZM521 (CIMMYT drought-tolerant OPV),added,official research/catalogue URL plus scientific literature,https://www.cimmyt.org/; DTMA maize variety literature,Drought-tolerant open-pollinated maize germplasm; medium maturity; no blanket disease immunity claim,Drought: improved tolerance prior; MSV/GLS/NCLB/MLN: no high-resistance claim unless local catalogue confirms,"Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium-low,added as conservative drought-tolerant maize prior
C_MAI_04,Maize,ZM523 (CIMMYT drought-tolerant OPV),added,official research/catalogue URL plus scientific literature,https://www.cimmyt.org/; DTMA maize variety literature,Drought-tolerant OPV; medium maturity; yield stability under managed stress reported in DTMA literature,"Drought: improved tolerance prior; foliar/viral disease resistance: moderate/unknown, not high","Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium-low,added as conservative drought-tolerant maize prior
C_COC_03,Cocoa,Scavina 6 (SCA 6),added,official research/catalogue URL plus scientific literature,https://www.icco.org/; cacao disease-resistance literature including SCA clones,Classic resistance donor in witches broom/cacao breeding literature; partial resistance context for Phytophthora screening,Witches broom: high documented donor resistance; black pod: partial/context-dependent; CSSV: no immunity claim,"Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium,added with disease-donor status clearly separated from universal cultivar recommendation
C_COC_04,Cocoa,TSH 565 (Trinidad Selected Hybrid clone),added,official research/catalogue URL plus scientific literature,https://www.icco.org/; cacao clone evaluation literature,Named TSH clone used in cacao breeding and agronomy literature; productivity/disease response vary by environment,Black pod: partial/moderate prior only; witches broom: not treated as SCA-level resistance; CSSV: no immunity claim,"Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium-low,added with medium-low confidence and explicit local-validation note
C_WHT_02,Wheat,Kingbird (CIMMYT bread wheat),added,official research/catalogue URL plus scientific literature,https://www.globalrust.org/; https://www.cimmyt.org/; wheat rust literature,CIMMYT bread wheat germplasm used in rust resistance contexts; semi-dwarf high-yield wheat physiology prior,Stem rust/Ug99 lineage: stronger prior than generic wheat; yellow rust: moderate prior; FHB: no high-resistance claim,"Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium,added with rust-specific resistance emphasis
C_WHT_03,Wheat,Danda’a (Ethiopian bread wheat),added,official research/catalogue URL plus scientific literature,https://www.cimmyt.org/; Ethiopian wheat rust adoption literature,Documented rust-resistant adoption context in Ethiopia; maturity and crop model parameters remain priors,Stem rust/yellow rust: improved prior versus susceptible checks; Septoria/FHB: no high-resistance claim,"Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium-low,added with medium-low confidence due to race-by-location effects
C_RIC_02,Rice,NERICA 4 (upland),added,official research/catalogue URL plus scientific literature,https://www.africarice.org/nerica,Early-maturing upland NERICA; drought and phosphorus-deficiency tolerance documented by AfricaRice,"Drought/P deficiency: improved tolerance; blast: moderate/unknown for local races, not high unless local screening confirms","Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium,added from AfricaRice official NERICA documentation
C_RIC_03,Rice,NERICA-L 19 (rainfed lowland),added,official research/catalogue URL plus scientific literature,https://www.africarice.org/nerica,"NERICA-L 19: yield potential 5-7 t/ha, tolerance to iron toxicity, drought and blast reported by AfricaRice",Blast: stronger prior than IR64 in African rainfed lowland context; BLB/tungro/sheath blight: no high-resistance claim,"Resistance_Score is used as a legacy susceptibility proxy in AEF; lower score means stronger documented resistance. When disease resistance is uncertain, score was kept moderate rather than optimistic.",medium,added from AfricaRice official NERICA documentation
