Disease_ID,Target_Crop_Name,Disease_Name,Disease_Type,Vector_Type,Region_Scope,Countries_or_Zones,Baseline_Pressure_0_1,Peak_Season,Climate_Drivers,Host_or_Vector_Drivers,Literature_Source,Evidence_Level,Update_Cadence,Notes
D_CAS_01,Cassava,Cassava Mosaic Disease (CMD),Viral,Whitefly,Sub-Saharan Africa literature prior,"West, Central and East African cassava belts",0.78,Early crop growth; periods of high whitefly pressure,Bemisia tabaci pressure; infected cuttings; nearby cassava reservoirs,Whitefly,CMD whitefly transmission and cassava epidemiology literature; IITA cultivar literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_CAS_02,Cassava,Cassava Brown Streak Disease (CBSD),Viral,Whitefly/Cuttings,Sub-Saharan Africa literature prior,"East and Central Africa, coastal cassava systems and expanding cassava belts",0.62,Whitefly peaks; movement of infected cuttings,Infected planting material; whitefly pressure; regional disease front,Whitefly/Cuttings,CBSD epidemiology literature and cassava seed-system guidance; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_CAS_03,Cassava,Cassava Anthracnose Disease (CAD),Fungal,Rain/Splash/Wind,Sub-Saharan Africa literature prior,Humid cassava systems,0.52,Wet periods and canopy injury windows,Rain splash; wounds; humid canopy,Rain/Splash/Wind,Cassava anthracnose management literature and humid-canopy fungal disease priors; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_CAS_04,Cassava,Cassava Bacterial Blight (CBB),Bacterial,Rain/Splash,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.50,Rainy season or humid canopy periods,Rain splash; wounds; humid canopy; contaminated planting material,Rain/Splash,Cassava bacterial blight epidemiology and sanitation literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_MAI_01,Maize,Maize Streak Virus (MSV),Viral,Leafhopper,Sub-Saharan Africa literature prior,"Sub-Saharan maize systems, especially where leafhopper vectors and grass reservoirs persist",0.70,Early maize growth after rains,Cicadulina leafhoppers; grassy reservoirs; late or asynchronous planting,Leafhopper,Maize streak virus and leafhopper epidemiology literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_MAI_02,Maize,Northern Corn Leaf Blight,Fungal,Wind/Rain,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.54,Humid/rainy periods,Leaf wetness; rainfall; humidity; crop residue or local inoculum,Wind/Rain,Exserohilum turcicum epidemiology and maize disease management literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_MAI_03,Maize,Gray Leaf Spot (GLS),Fungal,Wind/Rain/Residue,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.54,Humid/rainy periods,Leaf wetness; rainfall; humidity; crop residue or local inoculum,Wind/Rain/Residue,Cercospora zeae-maydis epidemiology and maize residue-risk literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_MAI_04,Maize,Maize Lethal Necrosis (MLN),Viral,Thrips/Beetles,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.58,Vector-favourable periods and early crop stages,Vector pressure; infected planting material or reservoirs; susceptible host,Thrips/Beetles,MLN epidemiology and East African disease management literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_MAI_05,Maize,Southern Corn Rust,Fungal,Wind,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.54,Humid/rainy periods,Leaf wetness; rainfall; humidity; crop residue or local inoculum,Wind,Puccinia polysora epidemiology and maize rust management literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_COT_01,Cotton,Cotton Leaf Curl Disease (CLCuD),Viral,Whitefly,Sub-Saharan Africa literature prior,Sub-Saharan Africa where host crop is grown,0.58,Vector-favourable periods and early crop stages,Vector pressure; infected planting material or reservoirs; susceptible host,Whitefly,Cotton leaf curl begomovirus and whitefly literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_COT_02,Cotton,Cotton Bacterial Blight,Bacterial,Rain/Wind,Sub-Saharan Africa literature prior,Humid cotton belts and seed systems with susceptible cultivars,0.48,Rainy periods with storms,Infected seed; rain splash; leaf wetness,Rain/Wind,Xanthomonas cotton blight seed and rain-splash literature; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium-low,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
D_COC_01,Cocoa,Cocoa Black Pod (Phytophthora spp.),Oomycete/Fungal,Rain/Splash/Soil,Sub-Saharan Africa literature prior,Humid cocoa belts of West and Central Africa,0.82,Main rainy season and high pod humidity,Rain splash; pod wetness; dense shade; Phytophthora inoculum,Rain/Splash/Soil,Phytophthora palmivora/megakarya black pod literature; West and Central African cocoa studies; CABI Crop Protection Compendium/Plantwise summaries; CGIAR/IITA/IRRI/CIMMYT crop health literature; FAO/IPPC regional plant health guidance where available,medium,Review manually before each pilot region; automate later from curated surveillance feeds where available,Initial literature prior; refine with national surveillance and field scouting.
