Disease_ID,Target_Crop_Name,Disease_Name,Type,Vector_Type,Opt_Temp,Opt_Humidity,Beta_Infection,Dispersal_Sigma_m,Yield_Retained_Infected,Control_Methods,Pruning_Hygiene_Factor,Daily_Recovery_Rate,Model_Family,Latency_Days,Reservoir_Persistence_Days,Vector_Weight,Rain_Splash_Weight,Long_Jump_Rate,Parameter_Source,Evidence_Level,Parameter_Notes,Causal_Agent,Primary_Literature_Basis,Disease_Curation_Status,Parameter_Confidence_Rationale
D_CAS_01,Cassava,Cassava Mosaic Disease (CMD),Viral,Whitefly,28,60,0.06,50,0.6,Remove symptomatic plants only when clustered incidence and expected inoculum reduction exceed stand-loss penalty.\nPlant certified virus-free cuttings of resistant or tolerant cultivars such as TME 419.\nManage Bemisia tabaci pressure and avoid stem movement from infected fields.,0.2,0,viral_vector,28,365,0.9,0.05,0.0012,CMD whitefly transmission and cassava epidemiology literature; IITA cultivar literature,medium,Symptoms often appear after a multi-week latent period; no natural recovery is assumed for infected plants.,"Cassava mosaic begomovirus complex, including African cassava mosaic virus and East African cassava mosaic virus",Cassava mosaic disease epidemiology and whitefly-transmission literature; Legg/Thresh/Sseruwagi CMD survey and management literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: causal-agent identification and transmission route solid; numeric beta remains model prior requiring local calibration
D_CAS_02,Cassava,Cassava Brown Streak Disease (CBSD),Viral,Whitefly/Cuttings,26,70,0.05,40,0.15,Use certified virus-free cuttings and restrict stem movement from hotspots.\nPrioritize tolerant cultivars and early harvest where root necrosis risk is high.\nRogue heavily symptomatic plants only when stand-loss penalty is lower than expected inoculum reduction.,0.2,0,viral_vector,35,365,0.8,0.05,0.001,CBSD epidemiology literature and cassava seed-system guidance,medium-low,Severe root-yield penalty retained; coefficients require local validation.,Cassava brown streak ipomoviruses: Cassava brown streak virus and Ugandan cassava brown streak virus,"CBSD epidemiology, root necrosis and cassava seed-system literature",Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: disease identity solid; local strain/vector pressure remains uncertain
D_CAS_03,Cassava,Cassava Anthracnose Disease (CAD),Fungal,Rain/Splash/Wind,25,85,0.035,80,0.75,Increase spacing and reduce humid canopy periods.\nRemove severely cankered stems and sanitize tools.\nUse copper-based fungicide only when field scouting confirms progressive lesions.,1.5,0.012,fungal_airborne,7,90,0.1,0.7,0.0008,Cassava anthracnose management literature and humid-canopy fungal disease priors,medium-low,Includes modest natural lesion inactivity under dry or low-pressure periods.,Colletotrichum gloeosporioides f. sp. manihotis / cassava anthracnose Colletotrichum complex,Cassava anthracnose humid-canopy and stem-canker management literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: fungal disease family solid; coefficients are medium-low confidence
D_CAS_04,Cassava,Cassava Bacterial Blight (CBB),Bacterial,Rain/Splash,26,80,0.045,30,0.45,Use healthy planting material and rotate away from infected residue.\nAvoid field operations when foliage is wet.\nRemove highly infected plants when disease foci are localized.,1,0.01,bacterial_splash,5,120,0.05,0.85,0.0008,Cassava bacterial blight epidemiology and sanitation literature,medium-low,Spread is rain-splash dominated with limited long-distance jumps.,Xanthomonas axonopodis pv. manihotis / Xanthomonas phaseoli pv. manihotis naming complex,Cassava bacterial blight epidemiology and sanitation literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: splash/planting-material transmission basis solid; coefficients require regional validation
D_MAI_01,Maize,Maize Streak Virus (MSV),Viral,Leafhopper,25,55,0.08,80,0.4,Plant resistant varieties and avoid late planting in high leafhopper periods.\nDestroy volunteer cereals and grassy reservoirs around the field.\nUse vector control only when scouting confirms high pressure early in crop growth.,0.1,0,viral_vector,14,180,0.9,0.05,0.0012,Maize streak virus and leafhopper epidemiology literature,medium,Early infection is much more damaging than late infection; model should weight phenology during yield loss.,"Maize streak virus, genus Mastrevirus",Maize streak virus and Cicadulina leafhopper epidemiology literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: vector-borne viral basis solid; early infection damage should remain phenology-weighted
D_MAI_02,Maize,Northern Corn Leaf Blight,Fungal,Wind/Rain,20,90,0.035,200,0.65,Use tolerant hybrids and residue management where maize follows maize.\nApply fungicide only when lesions appear before tasseling and weather remains wet.\nBalance nitrogen to avoid dense over-humid canopies.,0.5,0.012,fungal_airborne,7,180,0.1,0.35,0.001,Exserohilum turcicum epidemiology and maize disease management literature,medium,"Cool, humid weather and residue drive risk; not a purely radial spread process.","Exserohilum turcicum, teleomorph Setosphaeria turcica",Northern corn leaf blight epidemiology and maize residue/weather literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: cool humid airborne fungal model appropriate; coefficients medium confidence
D_MAI_03,Maize,Gray Leaf Spot (GLS),Fungal,Wind/Rain/Residue,25,95,0.03,120,0.7,Rotate crops and manage infected residue in conservation systems.\nUse resistant hybrids when available.\nTime fungicide to protect upper leaves if disease develops before silking.,0.4,0.01,fungal_airborne,14,240,0.05,0.35,0.0008,Cercospora zeae-maydis epidemiology and maize residue-risk literature,medium-low,Longer latent period and residue persistence reduce unrealistic explosive outbreaks.,Cercospora zeae-maydis and Cercospora zeina,"Gray leaf spot residue, humidity and foliar disease literature",Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: residue/weather persistence solid; regional species mix uncertain
D_MAI_04,Maize,Maize Lethal Necrosis (MLN),Viral,Thrips/Beetles,24,60,0.055,60,0.05,Use certified clean seed and avoid planting into known MLN hotspots.\nControl volunteer maize and synchronize planting windows.\nUse vector management only as part of an integrated package.,0.1,0,viral_vector,18,365,0.85,0.05,0.001,MLN epidemiology and East African disease management literature,medium-low,"Very high yield penalty but slower, vector-mediated spread than old reaction-diffusion settings.",Maize chlorotic mottle virus with potyviruses such as Sugarcane mosaic virus in MLN complex,Maize lethal necrosis East African epidemiology and vector/seed movement literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: complex disease identity solid; long-distance and seed/vector contributions need local surveillance
D_MAI_05,Maize,Southern Corn Rust,Fungal,Wind,27,90,0.07,500,0.6,Use tolerant hybrids and monitor regional rust alerts.\nApply fungicide if rust arrives before grain fill and humid weather persists.\nPrioritize early warning because wind dispersal can jump beyond field scale.,0.2,0.02,fungal_airborne,7,60,0.05,0.2,0.002,Puccinia polysora epidemiology and maize rust management literature,medium-low,"High long-distance dispersal, but low local reservoir persistence in unsuitable seasons.",Puccinia polysora,Southern corn rust epidemiology and windborne rust literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: airborne rust basis solid; race-specific resistance varies
D_COT_01,Cotton,Cotton Leaf Curl Disease (CLCuD),Viral,Whitefly,30,60,0.08,50,0.5,"Use resistant varieties and clean seed systems.\nManage whitefly pressure early, especially near alternate hosts.\nAvoid unnecessary late nitrogen that prolongs tender growth attractive to vectors.",0.1,0,viral_vector,21,240,0.9,0.05,0.0012,Cotton leaf curl begomovirus and whitefly literature,medium-low,Vector-driven viral disease; no natural plant recovery assumed.,Cotton leaf curl begomovirus complex with betasatellite association,Cotton leaf curl disease begomovirus and whitefly literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: vector-borne viral basis solid; African regional pressure needs local evidence
D_COT_02,Cotton,Cotton Bacterial Blight,Bacterial,Rain/Wind,30,85,0.045,30,0.55,Use resistant cultivars and acid-delinted clean seed.\nAvoid working fields when canopy is wet.\nDestroy infected residue where disease pressure was high.,0.8,0.008,bacterial_splash,7,120,0.05,0.8,0.0008,Xanthomonas cotton blight seed and rain-splash literature,medium-low,Seed/residue initiation with splash spread; recovery represents inactive lesions under dry weather.,Xanthomonas citri pv. malvacearum / Xanthomonas axonopodis pv. malvacearum naming complex,Cotton bacterial blight seed/rain splash and resistance literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: causal agent solid; coefficients medium-low confidence
D_COC_01,Cocoa,Cocoa Black Pod (Phytophthora spp.),Oomycete/Fungal,Rain/Splash/Soil,24,95,0.055,20,0.25,Harvest and remove infected pods frequently to reduce sporulation.\nImprove pruning and shade management to reduce persistent wetness.\nUse targeted copper/fungicide protection in peak rainfall periods.,1.8,0.015,soil_reservoir,4,540,0.05,0.9,0.0008,Phytophthora palmivora/megakarya black pod literature; West and Central African cocoa studies,medium,Uses long but finite reservoir persistence; pruning lowers humidity and inoculum rather than resetting disease to zero.,"Phytophthora megakarya and Phytophthora palmivora, with other Phytophthora spp. regionally","Cocoa black pod epidemiology, rain splash and Phytophthora literature",Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: strong literature basis; pathogen species and resistance vary strongly by region
D_COC_02,Cocoa,Cocoa Swollen Shoot Virus (CSSV),Viral,Mealybug,26,60,0.025,15,0,Confirm suspected cases before tree removal because roguing permanently removes productive trees.\nRemove infected trees and nearby high-risk contacts only under official control guidance.\nUse resistant/tolerant planting material and manage mealybug/ant complexes.,0.1,0,viral_vector,180,3650,0.8,0.05,0.0005,CSSV mealybug transmission and cocoa eradication program literature,medium-low,Very slow perennial viral dynamics; removal penalty must be explicit in recommendations.,Cacao swollen shoot badnavirus complex,CSSV mealybug transmission and West African cocoa epidemiology literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: viral/vector basis solid; management mostly sanitation/vector/planting material
D_COC_03,Cocoa,Witches Broom,Fungal,Wind,25,85,0.03,100,0.3,Prune infected brooms during dry periods and remove inoculum from the plot.\nImprove canopy aeration and sanitation.\nUse resistant material where available.,2,0.006,fungal_airborne,30,365,0.05,0.3,0.001,Moniliophthora perniciosa cocoa disease literature,medium-low,Long latent period and pruning response fit perennial canopy disease behavior.,Moniliophthora perniciosa,Witches broom disease molecular pathology and cacao resistance literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: causal agent solid; mainly relevant to Latin America/Caribbean rather than most African pilots
D_WHT_01,Wheat,Yellow Rust (Stripe Rust),Fungal,Wind,15,90,0.06,800,0.6,Use resistant wheat varieties and monitor regional rust races.\nProtect upper leaves with fungicide if rust appears before heading.\nAvoid excessive nitrogen that increases canopy susceptibility.,0.1,0.025,fungal_airborne,10,45,0.05,0.2,0.0025,Puccinia striiformis epidemiology and wheat rust management literature,medium,Windborne disease with strong weather suitability and limited local off-season reservoir.,Puccinia striiformis f. sp. tritici,Wheat stripe rust epidemiology and rust-resistance literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: weather/race-specific rust basis solid
D_WHT_02,Wheat,Septoria Tritici Blotch,Fungal,Rain/Splash,18,85,0.035,100,0.7,Use resistant varieties and residue/rotation management.\nApply fungicide to protect flag leaf when risk is high.\nAvoid very dense canopies that retain leaf wetness.,0.2,0.015,bacterial_splash,18,240,0.05,0.75,0.0008,Zymoseptoria tritici latent-period and rain-splash literature,medium,Classified as splash-dominated even though pathogen is fungal; long latent period damps unrealistic acceleration.,Zymoseptoria tritici,Septoria tritici blotch epidemiology and wheat canopy wetness literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: causal agent and wetness dependence solid
D_WHT_03,Wheat,Fusarium Head Blight (FHB),Fungal,Rain/Wind,25,85,0.025,150,0.5,"Avoid flowering during wet, warm windows where sowing-date optimization can help.\nUse tolerant varieties and rotate away from maize/wheat residue where possible.\nApply flowering-stage fungicide only when risk forecast is high.",0.2,0.015,fungal_airborne,5,180,0.05,0.7,0.001,Fusarium head blight flowering-risk and residue literature,medium,Phenology-sensitive disease; sowing-date optimizer should avoid high-risk anthesis weather.,Fusarium graminearum species complex and related Fusarium spp.,Fusarium head blight flowering-stage infection and mycotoxin literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: flowering/rainfall timing essential; not a simple foliar spread process
D_WHT_04,Wheat,Stem Rust (Ug99 lineage risk),Fungal,Wind,20,70,0.07,1000,0.1,Use varieties with effective stem-rust resistance genes for the region.\nMonitor national rust surveillance alerts and act early.\nApply fungicide only when early infection risk and crop value justify treatment.,0.1,0.02,fungal_airborne,8,60,0.05,0.2,0.003,Wheat stem rust/Ug99 surveillance and rust epidemiology literature,medium-low,"High long-distance dispersal and severe yield penalty, but not guaranteed 100 percent incidence.","Puccinia graminis f. sp. tritici, Ug99 lineage risk",Ug99/stem rust surveillance and Borlaug Global Rust Initiative literature,Reviewed 2026-06-22: causal agent and transmission class checked against scientific literature; no new numeric certainty added.,Reviewed: race-specific risk high; variety resistance must be updated frequently
