Crop_ID,Crop_Name,Variety,Type,Cycle_Days,GDD_Maturity,Cycle_DD,T_Base,T_Opt,T_Max,RUE_g_MJ,Max_LAI,Harvest_Index,Kc_Mid,Root_Depth_Max_m,Critical_Soil_N_kg_ha,Resistance_Score,Default_Density,Harvest_Rain_Limit_mm,Max_Irr_Event_mm,Pruning_Biomass_Removal_Pct,Pruning_LAI_Removal_Pct,Per_Tree_Wood_Capacity_kg,p_factor,end_of_early_stage,end_of_maturation_stage,Scientific_Name,Variety_Status,Parameter_Source,Evidence_Level,Parameter_Notes,Adaptation_Zone,Documented_Traits,Resistance_Profile,Trait_Source_URL,Curation_Date,Curation_Status
C_CAS_01,Cassava,TME 419 (IITA improved cassava),Annual,365,1700,1700,14,28,37,2.4,4.8,0.58,1.1,1.8,80,0.35,10000,120,40,0,0,0,0.5,0,0,Manihot esculenta,Released improved variety,IITA/TME 419 literature; FAO-56 and AquaCrop cassava priors,medium,CMD-tolerant improved cassava; HI and RUE are literature-bounded pilot priors.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-reviewed; retained
C_CAS_02,Cassava,TMS 30572 (IITA improved cassava),Annual,330,1600,1600,14,28,37,2.2,4.5,0.55,1.05,1.8,80,0.45,10000,120,40,0,0,0,0.5,0,0,Manihot esculenta,Released improved variety,IITA/TMS cassava literature; FAO-56 and AquaCrop cassava priors,medium,Replaces vague landrace label with a documented improved cassava cultivar.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-reviewed; retained
C_MAI_01,Maize,Obatanpa QPM (Ghana quality protein maize),Annual,105,1450,1450,8,30,40,3.6,5.5,0.48,1.2,1.5,160,0.55,53000,50,50,0,0,0,0.55,0,0,Zea mays,Released quality-protein maize variety,"Ghana QPM/Obatanpa literature; FAO-56, DSSAT and APSIM maize priors",medium,Suitable as African smallholder QPM reference; local calibration remains required.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-reviewed; retained
C_MAI_02,Maize,SAMMAZ 52 (drought-tolerant maize),Annual,110,1500,1500,8,30,40,3.8,5.8,0.5,1.18,1.4,160,0.45,55000,50,50,0,0,0,0.55,0,0,Zea mays,Released drought-tolerant maize variety,"Nigerian SAMMAZ release literature; FAO-56, DSSAT and APSIM maize priors",medium-low,Generic drought-tolerant maize reference for West African pilot runs.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-prior; keep under local validation
C_COT_01,Cotton,Coker 312 (upland cotton reference cultivar),Annual,160,2200,2200,12,30,38,1.7,3.5,0.35,1.15,1.5,150,0.7,80000,20,60,0,0,0,0.65,0,0,Gossypium hirsutum,Documented upland cotton research cultivar,Cotton physiology literature; FAO-56 cotton priors,medium,Reference cultivar for physiology; replace with national varieties when regional seed catalogues are available.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-reviewed; retained
C_COT_02,Cotton,FK37 (West African cotton cultivar),Annual,150,2100,2100,12,30,38,1.8,3.8,0.36,1.15,1.6,150,0.65,75000,20,60,0,0,0,0.65,0,0,Gossypium hirsutum,West African released cultivar,West African cotton variety literature; FAO-56 cotton priors,medium-low,Keeps an African cultivar option instead of a proprietary generic label.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-prior; keep under local validation
C_COC_01,Cocoa,West African Amelonado cultivar group,Perennial,365,0,0,18,25,32,1.25,5,0.12,1.05,1.5,100,0.7,1111,100,80,0.2,0.3,25,0.6,3,5,Theobroma cacao,Documented cultivar group,Cocoa physiology and West African black pod literature; FAO-56 tree crop priors,medium-low,Perennial parameters include pruning and finite woody biomass capacity to avoid unrealistic accumulation.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-prior; keep under local validation
C_COC_02,Cocoa,ICS 95 (Trinitario clone),Perennial,365,0,0,18,25,32,1.35,5.2,0.14,1.05,1.5,110,0.5,1111,100,80,0.2,0.3,28,0.6,3,5,Theobroma cacao,Documented Trinitario clone,Cocoa clone literature and disease screening literature; FAO-56 tree crop priors,medium-low,Introduces a named clone with distinct resistance and biomass priors.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-prior; keep under local validation
C_WHT_01,Wheat,Norman Borlaug 100 (CIMMYT-derived bread wheat),Annual,120,1800,1800,0,20,32,2.8,5.5,0.45,1.15,1.5,150,0.45,3000000,30,50,0,0,0,0.55,0,0,Triticum aestivum,Released bread wheat variety,"CIMMYT wheat literature; FAO-56, DSSAT and APSIM wheat priors",medium,Replaces generic winter wheat with a named semi-dwarf bread wheat reference.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-reviewed; retained
C_RIC_01,Rice,IR64 (IRRI released rice variety),Annual,115,1500,1500,10,30,38,2.2,6,0.5,1.2,0.8,120,0.5,250000,60,80,0,0,0,0.2,0,0,Oryza sativa,IRRI released mega-variety,"IRRI rice variety literature; FAO-56, DSSAT and APSIM rice priors",medium,Irrigated lowland rice reference; water stress p factor deliberately low.,,,Legacy scalar Resistance_Score retained as disease-susceptibility proxy; lower values represent stronger documented resistance in AEF.,,2026-06-22,legacy-reviewed; retained
